# Generated from RO3 Recovery Localization_zh_CN.lua.bytes
# Japanese values are NOT stored here; split_1000 parts 1-27 remain canonical.
# zh_CN_sha256=c2b07cf34c138d97351273ad00b1db2645a47be1ff49f4e108f531911963c614
# en_sha256=5ea8f468a675efe64a71eef887e485266d58edf6ce69e52a3d12abbe087340c7
# english_skill_ids_verified=1823
ID	English	ChineseSimplified
10110200078	Earth Spike	大地之刺
10110200079	Cart Boost	手推车加速
10110200080	High Speed Cart Ram	手推车终结技
10110200081	High Speed Cart Ram - Enhance	手推车终结技-强化
10110200082	Melt Down	野蛮凶砍
10110200083	Maximum Over Thrust	凶砍最大值
10110200084	Explosive Strike	爆裂一击
10110200085	Cart Clash	手推车冲撞
10110200086	Fire and Earth Research	火和大地研究
10110200087	Axe Mastery	斧头修炼
10110200088	Emergency Treatment	应急处理
10110200089	Axe Tornado	战斧飓风
10110200090	Axe Tornado - Enhance	战斧飓风-强化
10110200091	Heavy Axe Smash	挥斧重击
10110200092	Spinning Axe	回旋飞斧
10110200093	High-Energy Impact	高能冲击
10110200094	Crescent Wheel	孤月斩轮
10110200095	Madogear Pilot	魔导机甲驾驶执照
10110200096	Knuckle Boost	喷射飞拳
10110200097	Arm Cannon	加农炮
10110200098	Arm Cannon - Enhance	加农炮-强化
10110200099	Vulcan Arm	火神炮
10110200100	Pile Bunker	冲击锥
10110200101	Flame Launcher	火焰喷射
10110200102	High-Speed Propulsion	高速推进
10110200103	Energy Release	能量释放
10110200104	Aerial Bombardment	高空轰炸
10110200105	High-Energy Pulse	高能脉冲
10110200106	Kinetic Battle Axe Assembly	动能战斧装配
10110200107	Fast Travel	高速移动
10110200108	Retrieve Instrument	取回仪器
10110200110	Poring TP	波利TP(无需翻译)
10110200111	Poring Split	波利分裂(无需翻译)
10110200112	Radiant Orbit	光明之环(无需翻译)
10110200113	Angel Sweep	天使扫击(无需翻译)
10110200114	Radiant Poring Normal Attack - Holy	光明波利普攻-光(无需翻译)
10110200115	Fallen Sweep	堕落扫击(无需翻译)
10110200116	Dark Orbit	黑暗之环(无需翻译)
10110200117	Fallen Poring Normal Attack - Earth	堕落波利普攻-地(无需翻译)
10110200118	Throw Live Coal	投火种
10110200119	Throw Accelerant	投助燃剂
10110200120	Collect Live Coals	采集火种
10110200121	Monster Fruit	怪物果
10110200122	Primal Monster Fruit	原初怪物果
10110200123	Poporing Split	波波利分裂
10110200124	Earth Poring Split	土波利分裂
10110200125	Marin Split	冰波利分裂
10110200126	Mole Teleport	地鼠传送
10110200128	Cancel Transformation	取消变身
10110200129	Monster Self-Destruct	怪物自爆（无需翻译）
10110200130	Enlarge	变大
10110200131	Shrink	变小
10110200132	Link with Red Thread	牵红线
10110200133	Bash	狂击
10110200134	Jupitel Thunder	雷鸣术
10110200135	Basic Attack	普通攻击
10110200136	SP Reduction	扣蓝
10110200137	Disguise	伪装
10110200138	Magnum Break	怒爆
10110200139	Envenom	施毒
10110200140	Sight	火狩
10110200141	Sightless Mind	潜击
10110200142	Magic Absorption - Card	魔法吸收-卡片
10110200143	Splash - Card	溅射-卡片
10110200144	Magic Reflect - Card	魔法反射-卡片
10110200145	Physical Reflect - Card	物理反射-卡片
10110200146	Spear Mastery	矛系熟练度
10110200147	Increased Spear Attack Speed	矛攻速增加
10110200148	Riding	骑乘术
10110200149	Auto Guard	自动防御
10110200150	Smite	盾击
10110200151	Shield Reflect	反射盾
10110200152	Holy Cross	圣十字攻击
10110200153	Grand Cross	圣十字审判
10110200154	Devotion	牺牲
10110200155	Providence	神佑之光
10110200156	Defending Aura	光之盾
10110200157	Recoil	退缩
10110200158	Faith	信任
10110200159	Shield Boomerang	回旋盾击
10110200160	Shield Reflect Auto Counter	反射盾反击
10110200161	Recoil Auto Counter	退缩反击
10110200162	Monster Resistance	怪物抵御
10110200163	Cross Blast	十字爆破
10110200164	Cross Thrust	十字突刺
10110200165	Absolute Judex	绝对审判
10110200166	Shield Boomerang Combo	回旋盾连击
10110200167	Double Pressure	双倍威压
10110200168	Gloria Domini	神之威压
10110200169	Divine Punishment	神之惩戒
10110200170	Shield Pursuit	连续盾追击
10110200171	Rapid Smiting	连续盾击
10110200172	Sacrifice	舍命攻击
10110200173	Battle Chant	圣音
10110200174	Fountain of Life	生命源泉
10110200175	Crest of Light	光之纹章
10110200176	Advanced Monster Resistance	进阶怪物抵御
10110200177	Banishing Thrust	驱逐点刺
10110200178	Heavy Cannon Shot	重炮枪击
10110200179	Pinpoint Attack	精准穿刺
10110200180	Spear Formation - Blood Cross	枪阵-血十字
10110200181	Moon Slasher	枪阵-圆月
10110200182	Sniping Shot	蓄势待发
10110200183	Twilight	黄昏之光
10110200184	Shield Press	盾牌压制
10110200185	Reflect Damage	荆棘光环
10110200186	Shield Cast	盾牌咏唱
10110200187	Holy Light Suppression	圣光压制
10110200188	Earth Drive	大地猛击
10110200189	King's Grace	王之守护
10110200190	Shield Defense	架盾防御
10110200191	Union	联合
10110200192	Piety	虔诚
10110200193	Divine Insight	圣灵感应
10110200194	Thorn	荆棘
10110200195	Shield Break	护盾破碎
10110200196	Reflect Damage Passive	荆棘光环被动
10110200197	Spear Auto Counter	长枪反击
10110200198	Charge Up Strike	蓄势一击
10110200199	Shield Bash Enhance	盾击强化
10110200200	Fearless Charge	无畏冲锋
10110200201	Earthshaker	翻天覆地
10110200202	Spear Formation - Crescent Moon	枪阵-旋月
10110200203	Powerful Shield Bash	强力盾击
10110200204	Ultra Shield Bash	超强力盾击
10110200205	Advanced Monster Resistance	高阶怪物抵御
10110200206	Shield Block	盾牌格挡
10110200207	Shield Auto Counter	盾牌反击
10110200208	Powerful Auto Counter	强力反击
10110200209	Block Impact	格挡受击
10110200210	Test Skill@{1}	测试技能@{1}
10110200211	Test Skill@{1}*	测试技能@{1}*
10110200212	Spatial Dimension	立体空间
10110200213	Ricochet Dimension	弹射空间
10110200214	Flame Surge	火焰冲击
10110200215	Freezing Dimension	冰冻空间
10110200216	Petrify Dimension (Unreleased)	石化空间（未投放）
10110200217	Sleep Dimension	睡眠空间
10110200218	Silence Dimension	沉默空间
10110200219	Immobilize Dimension	定身空间
10110200220	Darkness Dimension	黑暗空间
10110200221	Hunting Trap	捕猎陷阱
10110200222	Flame Dimension (Unreleased)	火焰空间（未投放）
10110200223	Slow Dimension	迟滞空间
10110200224	Falcon Patrol	猎鹰巡查
10110200225	Create Vending Cart	创造自动贩卖车
10110200226	Create Ambulance	创造救护车
10110200227	Cloaking Dimension (Unreleased)	伪装空间（未投放）
10110200228	Assassin Normal Attack	刺客普攻
10110200229	Shadow Step	暗影步
10110200230	Soul Destroyer	心灵震波
10110200231	Enhance Cloaking	伪装强化
10110200232	Meteor Assault	黑暗瞬间
10110200233	Rolling Cutter	回旋刀刃
10110200234	Dark Illusion	黑色幻影
10110200235	Evil Spirit Threat	恶灵威胁
10110200236	Sonic Slash	音速切割
10110200237	Rift Impact	裂空冲击
10110200238	Cleaving Slash	斩劈挥砍
10110200239	Phantom Thrust	幻象突刺
10110200240	Rain of Spears	百矛穿刺
10110200241	Mage Normal Attack	法师普攻
10110200242	Tetra Vortex	元素漩涡
10110200243	Comet	破坏彗星
10110200244	Thunderclap	霹雳雷霆
10110200245	Crimson Rock	深红陨石
10110200246	Destructive Flame (Deprecated)	毁灭烈焰（废弃）
10110200247	Petrify Curse (Deprecated)	石化诅咒（废弃）
10110200248	Jack Frost	霜冻爆破
10110200249	Ice Fog	冰雾
10110200250	Earth Strain	大地扭曲
10110200251	Gravitation Field	重力原野
10110200252	Napalm Vulcan	念力连击
10110200253	Priest Normal Attack	牧师普攻
10110200254	Prayer of the Holy Spirit's Descent (Deprecated)	圣灵降临祈祷(废弃)
10110200255	Stigma (Deprecated)	圣痕(废弃)
10110200256	Divine Retribution (Deprecated)	天罚(废弃)
10110200257	Holy Reckoning (Deprecated)	讴歌(废弃)
10110200258	Arrow Attack	弓箭攻击
10110200259	Charge Arrow	冲锋箭
10110200260	Arrow Storm	箭雨风暴
10110200261	Detecting	猎鹰寻敌
10110200262	Myriad Stars Chase the Moon	千星逐月
10110200263	Anklesnare	定位陷阱
10110200264	Flasher	强光陷阱
10110200265	Focused Arrow Strike	瞄准射击
10110200266	Arm Cannon Enhance	加农炮强化
10110200267	Knuckle Boost (Deprecated)	喷射飞拳（废弃）
10110200268	Tension Relax	极速回复
10110200269	AoE Endure	群体霸体
10110200270	Lord of Vermilion	怒雷强击
10110200271	Storm Gust	暴风雪
10110200272	Wind Walker	风之步
10110200273	Falcon's Eye	猎鹰之眼
10110200274	Back Slide	后退回避
10110200275	Hide-and-Seek	躲猫猫
10110200276	Cross Bombardment	十字轰炸[无需翻译]
10110200277	Wind Style - Tornado	风遁-龙卷风
10110200278	Earth Style - Burrow	土遁-钻地
10110200279	Body Style - Expansion	体术-倍化术
10110200280	Fire Style - Flame Jet	火遁-火焰喷射
10110200281	Lightning Style - Rolling Thunder	雷遁-天雷滚滚
10110200282	Wind Style - Monsoon	风遁-季风
10110200283	Talk Style - Monsoon	嘴遁-季风
10110200284	Lightning Style - Rolling Thunder (Actual Damage)	雷遁-天雷滚滚（实际伤害）
10110200285	Expansion Jutsu Check	倍化术判断
10110200286	Identity Card Revive	身份牌复活
10110200287	Poring Magic	波利魔术
10110200288	Performance End	演出结束
10110200289	Second Emotes	第二个表情
10110200290	Flying Magic	飞行魔法
10110200291	Teleportation Magic	传送魔法
10110200292	Ping-Pong Poring	乒乓波利
10110200293	Poring Counterattack	波利回击
10110200294	Throw Vehicle	掷出车辆
10110200295	Pick up	拾取
10110200296	High-Speed Driving	急速飞驰
10110200298	Vehicle Stealth	车载隐形
10110200299	Vehicle Shield	车载护盾
10110200300	Vehicle Explosive Device	车载爆破装置
10110200301	Area Detection	区域探测
10110200302	Group Warp	群体传送
10110200303	Charge	冲锋
10110200304	Command	号令
10110200305	Escort Cart Explosion	镖车爆炸
10110200306	Deliver Fireworks	交付烟花
10110200307	Soul Expansion	灵魂爆发
10110200308	White Imprison	白色监狱
10110200309	Intense Telekinesis	强念传动
10110200310	Soul Expansion (Copy)	灵魂爆发(复制)
10110200311	Psychic Mastery	念力精通
10110200312	Gravitational Impact	引力冲击
10110200313	Psychokinetic Astral Body	念动星体
10110200314	Gravitational Impact (Copy)	引力冲击(复制)
10110200315	Set Blue Team	设置蓝方
10110200316	Set Red Team	设置红方
10110200317	Blessing of Light	光明庇护
10110200318	Dark Curse	黑暗诅咒
10110200319	Blessed Wind	祝福之风
10110200320	Earthshaking Rift	裂地之撼
10110200321	Flame Storm	烈焰风暴
10110200322	Raging Wave Cataclysm	怒浪浩劫
10110200323	Crystal Prison	水晶囚牢
10110200324	Deadly Flame Blade	夺命烈刃
10110200325	Blessing of Water	水之庇佑
10110200326	Blooming Flame	火之绽放
10110200328	Dragonkin Sacrifice	龙裔献祭
10110200329	Scorching Dragon Breath	炽热龙息
10110200330	Flame Wave	火焰浪潮
10110200331	Molten Gold Dragon Breath	熔金龙息
10110200332	Greed's Wrath	贪婪之怒
10110200333	Flame Combo	火焰连击
10110200334	Dive Bomb - AOE	俯冲轰炸-AOE
10110200335	Fire Wall - AOE	火墙-AOE
10110200336	Shield - AOE	盾牌-AOE
10110200337	Fafnir - Leaping Pounce	法夫纳-跳扑
10110200338	Generic - Suicide	通用-自杀
10110200339	Young Dragon Normal Attack@{1}	小龙普攻@{1}
10110200340	Young Dragon Fireball	小龙吐火球
10110200341	Young Dragon Charge	小龙冲撞
10110200342	Shield Spawn HP Loss@{1}%	盾牌出场掉血@{1}%
10110200343	Young Dragon Random Normal Attack Wrapper	小龙随机普攻壳
10110200344	Fafnir - Fire Wall Mechanic Jump to Edge	法夫纳-火墙机制跳边上
10110200345	Fafnir - Summon Young Dragon Mechanic Jump to Center	法夫纳-召唤小龙机制跳中
10110200346	Fafnir - Full-screen Flame Mechanic Jump to Center	法夫纳-全屏火焰机制跳中
10110200347	Fafnir - Ultimate Mechanic Jump to Center	法夫纳-终极大招机制跳中
10110200348	Generic - Spawn HP Loss@{1}%	通用-出场掉血@{1}%
10110200349	Fafnir - Dragon Roar (Performance)	法夫纳-巨龙吼叫（表演）
10110200350	Diving Fire Breath - Warning Zone	俯冲喷火-警示圈
10110200351	Fafnir - Summon Shield	法夫纳-召唤盾牌
10110200352	Firewall - Spawn	火墙-出生
10110200353	Shield - Spawn	盾牌-出生
10110200354	Fafnir - Summon Whelps	法夫纳-召唤小龙
10110200355	Apply Skill DMG Buff to the Dragon	给大龙加技能增伤buff
10110200356	Ring of Fire AOE	火圈AOE
10110200357	Ring of Fire Warning Zone	火圈警示圈
10110200358	Rectangular Flame AOE@{1}	矩形火焰aoe@{1}
10110200359	Dragon Roar (Performance) Rectangular AOE	巨龙吼叫（表演）矩形aoe
10110200360	Fire Dragon - Check for Surviving Whelps	火龙检查有没有小龙存活
10110200361	Split	分裂
10110200362	HP Recovery	回血
10110200363	Kill	杀人
10110200364	Self-Destruct	自爆
10110200365	Struggle	挣扎
10110200366	Full-screen Fire Setup - Take Off	全屏火前置起飞
10110200367	Full-screen Fire Setup - Charge	全屏火前置蓄力
10110200368	Pick Up Scale	捡起鳞片
10110200369	Discard Scale	丢弃鳞片
10110200370	Build Shield Wall	建造盾墙
10110200371	Carry Cannonball	搬运炮弹
10110200372	Repair Turret	修理炮台
10110200373	Combat NPC Turret Cast Skill (Shell)	战斗npc炮台施法技能（外壳）
10110200374	Mount Turret	乘坐炮台
10110200375	Fire!	开炮！
10110200376	Exit Turret	离开炮台
10110200377	Load Cannonball	装填炮弹
10110200378	Combat NPC Turret Cast Skill (ST)	战斗npc炮台施法技能（单体）
10110200379	Combat NPC Turret Cast Skill (AOE)	战斗npc炮台施法技能（AOE）
10110200380	Sync Buff Floors	同步buff层数
10110200381	Combat NPC Ice Turret Cast Skill (ST)	战斗npc冰炮台施法技能（单体）
10110200382	Combat NPC Ice Turret Cast Skill (AOE)	战斗npc冰炮台施法技能（AOE）
10110200383	Discard Cannonball	丢弃炮弹
10110200384	Fire Turret Sync Status Effect	火炮同步状态特效
10110200385	Switch to Ice Turret	切换冰炮
10110200386	Switch to Fire Turret	切换火炮
10110200387	Flame Jet	喷射火焰
10110200388	Bone-Chilling Frost	刺骨寒冰
10110200389	Chain Lightning	连环闪电
10110200390	Blessing Angel Interaction	赐福天使交互
10110200391	Lightning Strike	落雷
10110200392	Pass the Dynamite	传递炸弹
10110200393	Dynamite Explosion	炸弹爆炸
10110200394	Apply Pass Dynamite Effect	传递炸弹实际生效
10110200395	Pyroblast	炎爆术
10110200396	Lava Heat Wave	熔岩热浪
10110200397	Terrifying Roar	破胆怒吼
10110200398	Blade Whirlwind	刀刃旋风
10110200399	Spinning Blade Strike	旋刃打击
10110200400	Shatter Blade	碎刃
10110200401	Rock-Shattering Strike	碎石击
10110200402	Stone Glyph Slash	石字斩
10110200403	Petrify Cleave	石化顺劈
10110200404	Petrify Mist	石化迷雾
10110200405	Sandstorm	沙暴
10110200406	Devouring Tongue	吞噬之舌
10110200407	Indigestion	消化不良
10110200408	Putrid Explosion	腐烂爆炸
10110200409	Acid Spray	酸液喷射
10110200410	Powerful Drain	强力吸取
10110200411	Summon Thief Bugs	盗虫召唤
10110200413	Golden Thief Bug Normal Attack - Fire	黄金虫普攻-火
10110200414	Orc Hero Normal Attack - Earth	兽人英雄普攻-地
10110200415	Maya Normal Attack - Earth	蚁后普攻-地
10110200416	Phreeoni Normal Attack - Neutral	皮里恩普攻-无
10110200417	Gundam AOE Visual Effect	高达AOE特效表现
10110200418	Meteorfall	天上落陨石
10110200419	Lope	跳跃
10110200420	Lope@{1}	跳跃@{1}
10110200421	Mine Magic Circle	地雷法阵【无需翻译】
10110200422	Bullet-Hell Mechanism@{1}	弹幕机关@{1}【无需翻译】
10110200423	Rotating Mechanism	旋转机关【无需翻译】
10110200424	Rolling Boulder Mechanism	滚石机关【无需翻译】
10110200425	Crossbow Mechanism	弩箭机关【无需翻译】
10110200426	Gatherable Skill	采集物技能【无需翻译】
10110200427	Nightmare Circular AOE	梦魇圆形AOE【无需翻译】
10110200428	Dracula Grab	德古拉抓取【无需翻译】
10110200429	Dracula's Blood Pool	德古拉血池【无需翻译】
10110200430	Spawn Skill	出生技能（无需翻译）
10110200431	Baphomet Normal Attack	巴风特普攻（无需翻译）
10110200432	Inner and Outer Ring AOE	内外环AOE（无需翻译）
10110200433	Fan-Shaped AOE	扇形AOE（无需翻译）
10110200434	Eight-Way AOE	米字AOE（无需翻译）
10110200435	Horizontal AOE	横铺AOE（无需翻译）
10110200436	Targeted Explosion	点名爆炸（无需翻译）
10110200437	Soul Reaper	灵魂收割（无需翻译）
10110200438	ATK Boost	攻击增幅
10110200439	DEF Boost	防御增幅
10110200440	Cooldown Reduction	冷却衰减
10110200441	CRIT Boost	暴击增幅
10110200442	Movement Speed Boost	移速增幅
10110200443	HP Recovery	血量回复
10110200444	Abyss Magnet	深渊磁石
10110200445	Chain Bind	锁链禁锢
10110200446	Nightmare Mystery Box	噩梦魔盒
10110200447	Concentrated Squid Ink	浓缩墨鱼汁
10110200448	DEF Injection	防御针剂
10110200449	Berserk Injection	狂暴针剂
10110200450	Viscous Machine Oil	粘稠机油
10110200451	Compressed Gas Canister	压缩气罐
10110200452	Brass Talisman	黄铜护身符
10110200453	Weak	虚弱
10110200454	Apply Effect to All Players	所有玩家上特效
10110200455	Normal Attack@{1}	普攻@{1}【无需翻译】
10110200456	Skill@{1}Goblet Shatter	技能@{1}酒杯碎裂【无需翻译】
10110200457	Skill@{1}Repeated Goblet Shatter	技能@{1}酒杯碎裂多次【无需翻译】
10110200458	Skill@{1}Goblet Throw	技能@{1}酒杯投掷【无需翻译】
10110200459	Skill@{1}Statue Goblet Throw	技能@{1}酒杯投掷雕像【无需翻译】
10110200460	Skill@{1}Goblet Toast	技能@{1}酒杯交杯【无需翻译】
10110200461	Skill@{1}Converging Goblet Spin	技能@{1}酒杯收束旋转【无需翻译】
10110200462	Skill@{1}Goblet Arrival Spin	技能@{1}酒杯到点旋转【无需翻译】
10110200463	Skill@{1}Flying Goblet Row Slam	技能@{1}酒杯起飞连排砸【无需翻译】
10110200464	Skill@{1}Flying Goblet Row Slam-Easy	技能@{1}酒杯起飞连排砸-简单【无需翻译】
10110200465	Skill@{1}Converging Circular Goblet Launch	技能@{1}酒杯收束圆发射【无需翻译】
10110200466	Skill@{1}Spiral Goblet Launch	技能@{1}酒杯螺旋发射【无需翻译】
10110200467	Skill@{1}Spiral Goblet Launch-Easy	技能@{1}酒杯螺旋发射-简单【无需翻译】
10110200468	Skill@{1}Bagpipe Sound Blade	技能@{1}风笛音刃【无需翻译】
10110200469	Skill@{1}Spinning Bagpipe Sound Blade	技能@{1}风笛音刃旋转【无需翻译】
10110200470	Skill@{1}Triangular Bagpipe Sound Blade	技能@{1}风笛音刃三角【无需翻译】
10110200471	Skill@{1}Square Formation Bagpipe Sound Blade	技能@{1}风笛音刃方阵【无需翻译】
10110200472	Skill@{1}Square Formation Bagpipe Sound Blade-Easy	技能@{1}风笛音刃方阵-简单【无需翻译】
10110200473	Skill@{1}Synchronized Spinning Goblet Launch	技能@{1}酒杯等旋发射【无需翻译】
10110200474	Skill@{1}Lute Rectangle@{2}	技能@{1}鲁特琴矩形@{2}【无需翻译】
10110200475	Skill@{1}Lute Rectangle Clone Monster	技能@{1}鲁特琴矩形分身怪【无需翻译】
10110200476	Skill@{1}Lute Rectangle Clone Monster-Easy	技能@{1}鲁特琴矩形分身怪-简单【无需翻译】
10110200477	Skill@{1}Conducting Circular Target	技能@{1}指挥圆形点名【无需翻译】
10110200478	Skill@{1}Horn Laser	技能@{1}号角激光【无需翻译】
10110200479	Skill@{1}Dancing Bell	技能@{1}舞蹈铃铛【无需翻译】
10110200480	Skill@{1}Drumbeat Ring Explosion	技能@{1}鼓点环型爆炸【无需翻译】
10110200481	Skill@{1}Drumbeat Triple Ring	技能@{1}鼓点环型三环【无需翻译】
10110200482	Skill@{1}Harp Performance	技能@{1}竖琴演奏【无需翻译】
10110200483	Skill@{1}Harp Performance-Easy	技能@{1}竖琴演奏-简单【无需翻译】
10110200484	Skill@{1}Harp Performance-Normal	技能@{1}竖琴演奏-普通【无需翻译】
10110200485	Skill@{1}Opening Movement	技能@{1}最初乐章【无需翻译】
10110200486	Skill@{1} First Movement - Easy	技能@{1}最初乐章-简单【无需翻译】
10110200487	Skill@{1} Universal Wave Stealth	技能@{1}水浪隐身通用【无需翻译】
10110200488	Clone Normal Attack	分身普攻【无需翻译】
10110200489	Clone Entrance	分身出场【无需翻译】
10110200490	Skill@{1}Kun Appearance	技能@{1}鲲出场【无需翻译】
10110200491	Skill@{1} Kun Entrance	技能@{1}鲲入场【无需翻译】
10110200492	Skill@{1} Kun Water Wall	技能@{1}鲲水墙【无需翻译】
10110200493	Skill@{1} Kun Water Vortex	技能@{1}鲲水漩涡【无需翻译】
10110200494	Skill@{1} Kun Water Vortex - Easy	技能@{1}鲲水漩涡-简单【无需翻译】
10110200495	Skill@{1} Kun Water Vortex@{2}	技能@{1}鲲水漩涡@{2}【无需翻译】
10110200496	Skill@{1} Kun Movement	技能@{1}鲲移动【无需翻译】
10110200497	Battle Royale Gravity Field	大逃杀重力场【无需翻译】
10110200498	Battle Royale Gravity Field@{1}	大逃杀重力场@{1}【无需翻译】
10110200499	Battle Royale Screen Shake	大逃杀震屏【无需翻译】
10110200500	Skill@{1} Clone Monster Spawn Flash	技能@{1}分身怪出生闪现【无需翻译】
10110200501	Clone Mini Laser	分身小激光【无需翻译】
10110200502	Water Ripple Bullet	水涟漪子弹【无需翻译】
10110200503	Jellyfish Mouth Bullet	水母口子弹【无需翻译】
10110200504	Bubble Bullet	泡泡子弹【无需翻译】
10110200505	Sea Urchin Bullet	海胆子弹【无需翻译】
10110200506	Slide Shockwave	滑梯冲击波【无需翻译】
10110200507	Tiamat Rectangular Damage	提亚马特矩形伤害【无需翻译】
10110200508	Tiamat Spawn Warning	提亚马特出生前预警【无需翻译】
10110200509	Jellyfish Ranged Attack	水母远程攻击
10110200510	Jellyfish Spawn	水母出生
10110200511	Melody Sprite Attack	音律幼灵攻击
10110200512	Melody Sprite Spawn	音律幼灵出生
10110200513	Resonant Shell Cluster Attack	共鸣贝簇攻击
10110200514	Resonant Shell Cluster Spawn	共鸣贝簇出生
10110200515	Hunter Charge	捕猎者冲锋
10110200516	Hunter Slash	捕猎者挥砍
10110200517	Hunter Spin	捕猎者旋转
10110200518	Hunter Normal Attack	捕猎者普攻
10110200519	Hunter Spawn	捕猎者出生
10110200520	Hunter Charge@{1}	捕猎者冲锋@{1}
10110200521	Hunter Battle Royale Spin	捕猎者大逃杀回旋
10110200522	Hunter Water Escape	捕猎者水遁
10110200523	Skill@{1} Musical Instrument Performance	(无需翻译)技能@{1}乐器演奏
10110200524	Skill@{1} Sleep	(无需翻译)技能@{1}沉睡
10110200525	Skill@{1} Bagpipe Sonic Blade	(无需翻译)技能@{1}风笛音刃
10110200526	Skill@{1} Water Pillar Laser	(无需翻译)技能@{1}水柱激光
10110200527	Skill@{1} Eight-Way Sonic Blast	(无需翻译)技能@{1}米字音爆
10110200528	Skill@{1} Ring Explosion	(无需翻译)技能@{1}环形爆炸
10110200529	Skill@{1} Circular Sonic Blast	(无需翻译)技能@{1}圆形音爆
10110200530	Skill@{1} Cloud Explosion	(无需翻译)技能@{1}云层爆炸
10110200531	Skill@{1} Slide Preparation	(无需翻译)技能@{1}滑梯预备
10110200532	Skill@{1} Battle Royale Preparation	(无需翻译)技能@{1}大逃杀预备
10110200533	Skill@{1} Ilma Blackhole	(无需翻译)技能@{1}伊尔玛黑洞
10110200534	Normal Attack@{1}	(无需翻译)普攻@{1}
10110200535	Skill@{1} Fin Tracking	(无需翻译)技能@{1}鱼鳍跟踪
10110200536	Skill@{1} Square Formation	(无需翻译)技能@{1}方阵
10110200537	Skill@{1} Horizontal Square Formation	(无需翻译)技能@{1}横向方阵
10110200538	Skill@{1} Grand Cross Formation	(无需翻译)技能@{1}大十字方阵
10110200539	Skill@{1} Eight-Way@{2} Players	(无需翻译)技能@{1}米字@{2}人
10110200540	Skill@{1} Orbiting Fins	(无需翻译)技能@{1}鱼鳍环绕
10110200541	Skill@{1} Fin Formation	(无需翻译)技能@{1}鱼鳍方阵
10110200542	Skill@{1} Fins@{2} Sides	(无需翻译)技能@{1}鱼鳍@{2}边
